Label,tokenized_Transcript,Prediction
1,correction system go to happen know trust go to happen want want anywhone family go hell country suffer like good sure go to happen,0.0
1,black male stand door look like tee shirt basketball short yes pull pistol brother face tell house fuck ground,0.0
1,tell finally dark finally show flashlight um cause mention shoot head tell hair soak blood um officer ah arrive butterfly creek ah figure actual incident happen bernardino rest officer ah go residence,0.0
1,tactical officer scene deploy inner perimeter um officer purdue deploy high ground position walk officer perez officer ramon hernelez walk go send individual officer weimerskirtz request additional manpower,0.0
1,um remember go basement remember like young lady um fall kitchen intoxicated walk um staff staff member actually comment um time remember see,0.0
1,ummm start ground start ask question stash girls house ummm start ask idea talk start ask like girl house say ask time time like precede get ground kind go house look value look,0.0
1,investigator scene um execute warrant search warrant take um room house actually take um room right walk walk living room um jonathan room,0.0
1,interview police mathew hood state jamie hood call ask pick mc donald jamie mc donald parent jamie ask mathew cousin tobarris house change mathew know mathew hood jamie hood leave mc donald,0.0
1,recollection see pull knife m m go basically vantage point foot turn appear possibly east point look foot m assume turn go ground,0.0
1,thing remember uh come house um pull gun waistband tell eff floor uh nolan,0.0
1,um soft body armor um repeat offender project hard body armor uh good rifle round augment body armor um change glass notice time day change glass um sunglass uh clear lense eye protection uh get department rifle insure department rifle taser shotgun um sure body armor recording device,0.0
1,um remember hear shot um remember get vehicle fall ground um spo jerry johnson hear come,0.0
1,time december nineteenth look missing item uh uh badge gun uh start drive know new castle um go foot couple time um new castle road stadium drive look like badge gun evidence,0.0
1,item take serology process need determine type dna present reason sperm cell identify process differential separation try separate sperm cell epithelial cell,0.0
1,um daughter ah nicole friend long time ah pretty cause lifer class 2005 um actually teach nicole sophomore english nicole megan band think like 7th 10th grade um excuse basketball 7th 10th band 4th 12th,0.0
1,good um treat respect love um like degenerative disc disease neck bring pillow bathroom head neck hurt um um ask know want talk call \baby\ say love tell love time,0.0
1,psychologist explain society need umm persecute people sort gratification go umm convoluted talk hour umm,0.0
1,a. feel safe b. angela great aunt feel committed um c. need stability permanency safety order able heal recover clear time gabby spend angela receive aunt uncle,0.0
1,"ask instinctively \so go drive right?\ say \""you go stay go pick up\ say \""yes\ personal connection grandfather kill drunk driver come intoxicated possibility drive like \""you go anywhere\ moment make sure go stay vicinity ask say \""yes\",0.0
1,tall table walk way um stare place look take picture inside outside capture possible uh kind stop uh start talk uh um girl guy drink try uh sense um tell amazed picture take stuff uh say understandable,1.0
1,um tanbark start notice debris road way notice uhhh tire mark exactly exactly sure debris ahhh start follow notice damage roadway ahh look see white car tree,1.0
1,wake lot pain lot pressure sound somebody moan quickly realize bo shut eye lay think decision consciously wait get literally pick blanket throw,0.0
1,mmm initially ve twitter know look like hear people read magazine um 2009 somebody start false twitter account begin tweeting pretend shut um sort idea think february decide,0.0
1,typically case like um childhood drug alcoholism molestation thing like thing occur family um know guess sort joke mom beat hard mitigation,0.0
1,married year um divorce 10 month old basically young know marriage suppose know know want school jealous um want work school grocery store,0.0
1,yes um reginald like long talk long talk um late night guess vulnerable position um sleep,0.0
1,bear durango colorado mother single mother old sister karen berry dory gardner old brother um bit young primarily grow um live forth texas new mexico 6 year old point mother marry step father um live live new mexico approximately fifth grade,0.0
1,um little um old nephew um year young close little spend lot time um freshman high school go live,0.0
0,tell dream ammm forest kill laura help rid go to,0.0
0,drink bar maybe ammm get dance floor explain ammm train dancer time go able dance freely like release m space get dance dance floor come join dance floor ahhh join necessarily dance floor initially dance ammm time reach hand defense say twirl ammm,0.0
0,sir absolutely sir sir,0.0
0,sir,0.0
0,approach time trip rug kind bump head nursery ammm know guy see layout ahhh loveseat right rock chair right little wall trip rug bump grant approach grab kind pull pull tell chill start fight little wall right loveseat kick go chair land floor go run bedroom lily stick happen get bedroom little grant try come come door ask noise tell chair fall come bedroom ammm ask daddy tell pick chair,0.0
0,time see fall come bathroom see get boat cover honestly know middle seat see boat day,0.0
0,tell ammm try figure stuff ammm ask like mean forget smoke cigarette like calm look say say tell laura dead like know like basically tell ammm night laura come house die leave panic freak get start freak ask cop stutter help like tell go tell ammm get scared black man dead white woman go to believe accident,0.0
0,think choke hand free torso arm free try push want injure want quick long,0.0
0,uh cruise husband vacation year child pause clear throat project need complete hemy insist complete day way require input way finish work night,0.0
0,idea uh work presumably work thing m s sure nope m sure work relate coincidental m sure go talk frequently work matter,0.0
0,know maybe thirty line slightly later,0.0
0,ahhh get hotel remember ammm sit er sit briefly balcony room additional time ask explain,0.0
0,ahhh dance club drinking activity know time dance club get,0.0
0,take take long time take long time point want admit write suicide letter send note send envelope grandmother open nov 10th 2008 hope dead give little time affair order date roll time roll evolution time year go gradual process begin feel right keep instead,0.0
0,right shot occur um fall bathroom sink sink garbage area kind corner chase moment struggle floor soon break away say \f'e kill bitch\ remember lot chase,1.0
0,ah remember evidently try hemy probably tell leave office w happen normal thing tell boss leave office happen husband,0.0
0,recall fill gas can loose gas hose um hang hang end transaction probably know mean trunk start car vise versa um point want ground hang end transaction probably maybe top gas tank,0.0
0,lunging gun go sort contemporanio remember close happen exactly moment right happen fast happen far distance maybe far mr babbikey sp court reporter sure absolute certainty,0.0
0,lie typically m go ve tell lie life incident lie tell case tie directly protect travis reputation involvement death way ashamed death want edify travis good way want de- edify hateful thing especially pass away want construe motive example violent,0.0
0,"attempt talk present well image relationship downplay negative aspect like \it big deal\ \""oh bad\ kinda thing like \""oh yeah know big deal\ um argument oh sure rocky turmoil friend attempt present good image travis good image relationship up down um good term",0.0
0,recall scream yell um know constitute talk say word thing recall far word,0.0
0,think good memory june 4th anomaly like say yesterday class explain kind state mind um day entire blank little piece come explain day day day memory issue different average person,0.0
0,happen fast time think happen um split second time think way way happen think good,0.0
0,far detail detail general sense go far fog go word speak scream yell process sort thing physical thing remember feel physically remember feel internally emotionally word speak meaning remember feel make sense,0.0
0,experience disorientation think gosh travis choke actually thought sort wander mind s nepolian head thought relation event thought kinda get bearing um completely clear remember hand neck bang head carpet try push black shortly,0.0
0,happen fast initially think run go hallway right get hallway door shut like obstacle time catch open door way run door equal distance open run way thought initially run door create distance time run route successful run room,0.0
0,sort come fog realize \oh crap\ bad happen scared authority point,0.0
0,believe okay circumstance someone life defend life believe stop consider society view defend feel like wrong afraid consequence,0.0
0,go choking incident fact body slam stand think try fall feel try grab,0.0
0,know kid wanna look get gun kid flail little bit police come shoot boy go ve look round want kill try kill hostage young folk scare man testify folk go jail come oh ai mad understand scare like people like like go testify,0.0
0,push face definitely face push know purpose scratch neck scratch neck err rag t shirt take care house tear shirt,0.0
0,brother sister child know fun love uncle m continue experience thing life kid certainly way explain sense situation m truly sorry,0.0
0,want prosecutor face wish disgust dorsey family disgust dare happen son ya'll absentee people dorsey family mother father everybody- hope ya'll live life imma say child gabrielle blair live imma say them life live get child period,0.0
0,say hungry i- pizza receipt site call order pizza man come right tim tim guy stop stand partially open door tim talk gun,0.0
0,straddle hit start choke breath umm airway cut breath umm head hurt bad feel like head go to explode,0.0
0,sense correct remember drop knife scream memory come later um go blank remember put gun car remember put rope car crystal clear pretty pretty solid memory dispose car obviously remember place car,0.0
0,know struggle day base logic fight know thing end end,0.0
0,word assume say say- assume,0.0
0,know see couple time place face address talk anybody live school come home uh,0.0
0,look people involve uh shooting individual street corner,0.0
0,time call name conversation conversation,0.0
0,try talk try push strong um think kid tell \mom,0.0
0,yes say tell care wound necessary say wound um advise tylenol gel um ask face,1.0
0,time remember mr miller have kinda like argument officer move people area street uh block uh sidewalk uh aggressive officer understand need everybody follow order want everybody safety mean order step street,1.0
0,f word time okay m sorry let rephrase mention f word time,0.0
0,know quote responsible chr share holder dataset available completely lock statement responsible quote law abide chr completely anecdotal conjecture,0.0
0,remember withhold evidence important case want try truth say criminal investigation investigation undetermined time uh prepared assertion uh outcome go thorough investigation,0.0
0,find man uh secure area luggage cart chair set uh try thing communicate chair go fly grab computer desk throw um get guy violence escalate,1.0
0,instantaneous effect mr dziekanski stapler hand uh go cause mistaken mean lie good job time,0.0
0,100 percent absolutely 100 percent 100 percent totally false remorse absolutely,0.0
0,barrel stick certain like go kill m lose justife second valley say think shoot,0.0
0,hammer hit,0.0
0,fist temple keep hit spot guess head strong like believe go doctor day finally go work,0.0
0,word definition definition apply continuum want talk stalking mean talk,0.0
0,yes believe er abusive relationship yes um certainly put friend family um destruction property minimal point um change victim personality,0.0
0,absolutely disappearance m glad um laci disappear um call immediately immediately couple day laci disappearance telephone tell truth marry laci disappearance know point,0.0
0,believe evidence support domestic violence yes think bias incorrect word mr martinez believe m biased,0.0
0,lot talk know seduce jodi frankly jodi seductive person pretty straightforward uhm jodi terrible jodi terrible think medium nancy grace jane velez mitchell dr draw insidious sound sane,0.0
0,um person congregation involve activity like elder sit individual try determine go objective jesus say \if sheep lose leave ninety find one\ objective help individual er er worship er like celebrate christmas fornication happen elder mate individual base person um attitude time direct relevance,0.0
0,statement ve candace conte molest candace conte mean think tell ve okay right ve candace conte candace conte,0.0
0,oh word again think hear big inaudible like think juge mean god,0.0
